epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0284,1.8212,4.48611,11.975,1.96395,0,0.35304,0.18887,0.09999,0.04061,0.00021,0.00334,3e-05,1e-05,2.24679,13.433,14.065,2.47944,0,0.000326797,0.000326797,0.0676471
2,101.216,1.63276,3.65821,8.59334,1.78806,0,0.41139,0.3315,0.25434,0.11869,0.19909,0.02736,0.01502,0.00325,1.95108,7.3508,9.45353,2.31419,0,0.000641458,0.000641458,0.0346284
3,138.136,1.60087,3.4336,7.71066,1.7592,0,0.61116,0.31793,0.28203,0.15485,0.52474,0.07094,0.07837,0.03815,1.84515,5.70485,8.55097,2.06981,0,0.000937262,0.000937262,0.00159086
4,188.752,1.55061,3.29191,7.1892,1.69902,0,0.59656,0.32975,0.31215,0.17015,0.55619,0.10965,0.10365,0.0525,1.76307,4.60351,8.07851,1.98078,0,0.000915143,0.000915143,0.000915143
5,229.673,1.51235,3.14817,6.80008,1.66746,0,0.53242,0.34622,0.33068,0.18498,0.47358,0.19327,0.1581,0.06996,1.7154,3.63819,7.69721,1.883,0,0.000886857,0.000886857,0.000886857
6,275.183,1.50124,3.08813,6.6452,1.66539,0,0.64155,0.34218,0.36056,0.20978,0.5748,0.22734,0.23613,0.10833,1.63498,3.07142,6.91123,1.84092,0,0.000858571,0.000858571,0.000858571
7,314.003,1.44001,3.0316,6.2927,1.60854,0,0.6609,0.41516,0.37278,0.21679,0.70912,0.20283,0.21816,0.10111,1.59179,3.04834,6.67959,1.79077,0,0.000830286,0.000830286,0.000830286
8,346.894,1.42045,2.93709,6.12283,1.58766,0,0.68908,0.37606,0.37476,0.21312,0.66087,0.23857,0.24692,0.118,1.63031,2.93845,6.91551,1.80742,0,0.000802,0.000802,0.000802
9,383.353,1.40034,2.90624,6.02117,1.58449,0,0.63385,0.42061,0.39413,0.23949,0.61659,0.27349,0.26756,0.13295,1.51096,2.74365,6.17002,1.71779,0,0.000773714,0.000773714,0.000773714
10,405.604,1.36387,2.8282,5.88203,1.55907,0,0.61765,0.42933,0.4022,0.23614,0.64055,0.24402,0.25776,0.13148,1.5427,2.74089,6.18569,1.73935,0,0.000745429,0.000745429,0.000745429
11,412.862,1.36927,2.8411,5.72236,1.55391,0,0.66471,0.43809,0.41264,0.25687,0.62964,0.25993,0.28181,0.14498,1.46946,2.54849,5.94602,1.65964,0,0.000717143,0.000717143,0.000717143
12,420.257,1.33807,2.7833,5.59626,1.51622,0,0.67438,0.39871,0.42271,0.24698,0.69351,0.25943,0.2719,0.1379,1.52815,2.61625,5.99238,1.72956,0,0.000688857,0.000688857,0.000688857
13,427.431,1.29673,2.6962,5.34116,1.49522,0,0.60497,0.43922,0.45157,0.27786,0.55195,0.28695,0.28994,0.15204,1.43213,2.5662,5.82668,1.63618,0,0.000660571,0.000660571,0.000660571
14,434.758,1.3082,2.75366,5.33716,1.49734,0,0.60542,0.49331,0.44178,0.27202,0.70896,0.278,0.3016,0.15367,1.4534,2.47977,5.67636,1.65286,0,0.000632286,0.000632286,0.000632286
15,442.132,1.28898,2.71747,5.26713,1.48841,0,0.6789,0.45619,0.4386,0.27111,0.5878,0.32251,0.28729,0.14874,1.43425,2.56668,6.03941,1.59521,0,0.000604,0.000604,0.000604
16,449.213,1.25007,2.61154,5.10898,1.46815,0,0.72328,0.43816,0.44905,0.28052,0.61796,0.29984,0.28837,0.14724,1.43387,2.50126,5.64208,1.63934,0,0.000575714,0.000575714,0.000575714
17,456.416,1.25722,2.63844,5.00037,1.45281,0,0.58456,0.51097,0.45874,0.28238,0.59367,0.32653,0.31245,0.15764,1.42878,2.45753,5.45729,1.60626,0,0.000547429,0.000547429,0.000547429
18,463.654,1.2442,2.61226,4.89905,1.46,0,0.58605,0.49057,0.44731,0.28449,0.60498,0.32613,0.30884,0.16153,1.38392,2.41573,5.39419,1.58759,0,0.000519143,0.000519143,0.000519143
19,470.942,1.21338,2.54167,4.83686,1.44734,0,0.59026,0.53268,0.49079,0.30378,0.57426,0.36421,0.32836,0.16866,1.3844,2.42359,5.36946,1.58664,0,0.000490857,0.000490857,0.000490857
20,478.311,1.22548,2.56049,4.84726,1.43898,0,0.5447,0.53983,0.50469,0.31142,0.5864,0.33988,0.34182,0.16767,1.36156,2.35002,5.31553,1.54786,0,0.000462571,0.000462571,0.000462571
21,485.716,1.21201,2.56206,4.86787,1.45083,0,0.56686,0.50811,0.48905,0.29773,0.64417,0.33588,0.33617,0.17136,1.37567,2.35606,5.2952,1.58118,0,0.000434286,0.000434286,0.000434286
22,493.475,1.19367,2.50998,4.6435,1.42229,0,0.50091,0.52548,0.48329,0.31261,0.58383,0.36489,0.35501,0.18432,1.31704,2.2917,5.04682,1.52529,0,0.000406,0.000406,0.000406
23,500.812,1.1776,2.48998,4.5172,1.39965,0,0.67484,0.51677,0.50988,0.31661,0.60147,0.36555,0.37287,0.18658,1.33272,2.32085,5.07575,1.53454,0,0.000377714,0.000377714,0.000377714
24,508.588,1.15787,2.48802,4.46531,1.39144,0,0.59268,0.54945,0.51002,0.31917,0.51869,0.35352,0.34556,0.17932,1.32293,2.35157,5.06771,1.5238,0,0.000349429,0.000349429,0.000349429
25,515.92,1.14984,2.45257,4.38778,1.39336,0,0.57684,0.50641,0.50595,0.3247,0.49621,0.37415,0.35899,0.182,1.30457,2.30107,5.0651,1.50548,0,0.000321143,0.000321143,0.000321143
26,530.394,1.18643,2.11229,4.35415,1.47283,0,0.59468,0.55468,0.51634,0.32702,0.56136,0.35217,0.35887,0.18107,1.31906,2.32333,5.07794,1.52746,0,0.000292857,0.000292857,0.000292857
27,537.36,1.15819,2.07907,4.14143,1.45288,0,0.6738,0.5006,0.52736,0.3319,0.63109,0.34309,0.36965,0.18738,1.30867,2.27598,4.97976,1.50973,0,0.000264571,0.000264571,0.000264571
28,544.168,1.14926,2.05854,4.03807,1.43417,0,0.68801,0.50889,0.52757,0.33605,0.64979,0.33096,0.37005,0.19033,1.29718,2.24956,4.93868,1.50412,0,0.000236286,0.000236286,0.000236286
29,551.584,1.12296,2.01127,3.853,1.41882,0,0.59314,0.55889,0.52635,0.34208,0.48057,0.37388,0.34849,0.18408,1.29227,2.2376,4.84896,1.50225,0,0.000208,0.000208,0.000208
30,558.351,1.10194,1.99486,3.74256,1.39724,0,0.64079,0.54141,0.53381,0.34251,0.55137,0.37157,0.35928,0.18978,1.27669,2.23345,4.72961,1.50104,0,0.000179714,0.000179714,0.000179714
31,565.076,1.08012,1.99468,3.61837,1.38125,0,0.62952,0.57305,0.52554,0.34654,0.50607,0.37327,0.36196,0.19071,1.25504,2.22181,4.73747,1.48167,0,0.000151429,0.000151429,0.000151429
32,571.888,1.08371,1.97373,3.57113,1.38443,0,0.6281,0.58379,0.55145,0.35118,0.45509,0.42724,0.3801,0.19437,1.24848,2.21466,4.62761,1.48022,0,0.000123143,0.000123143,0.000123143
33,578.728,1.06897,1.95921,3.47305,1.37894,0,0.68475,0.55548,0.54907,0.35538,0.58274,0.40395,0.39921,0.20093,1.24713,2.2044,4.67131,1.46631,0,9.48571e-05,9.48571e-05,9.48571e-05
34,585.505,1.05595,1.93078,3.37677,1.36118,0,0.64321,0.59966,0.56297,0.36709,0.52921,0.41557,0.39688,0.20693,1.24423,2.1891,4.58401,1.4631,0,6.65714e-05,6.65714e-05,6.65714e-05
35,592.309,1.03449,1.92564,3.33405,1.34295,0,0.62747,0.63367,0.57102,0.37025,0.52085,0.46048,0.40631,0.20806,1.24102,2.19037,4.49052,1.45941,0,3.82857e-05,3.82857e-05,3.82857e-05
