epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7928,2.12476,4.632,13.3826,2.41994,0,0.41257,0.22588,0.13229,0.05183,0.33671,0.01918,0.01328,0.0056,2.4252,10.8388,12.8512,2.43574,0,0.000330033,0.000330033,0.0673267
2,26.8402,1.92842,3.95763,10.2207,2.23077,0,0.28518,0.26609,0.19264,0.0831,0.22578,0.06706,0.04789,0.02407,2.28587,6.40811,11.3693,2.31883,0,0.000650232,0.000650232,0.0343136
3,53.7694,1.87663,3.78234,9.5149,2.19507,0,0.48363,0.26819,0.21381,0.09222,0.44585,0.1039,0.08623,0.0402,2.20469,4.53888,10.1917,2.25634,0,0.00095723,0.00095723,0.00128726
4,82.1151,1.83579,3.61659,9.09203,2.17178,0,0.53114,0.3143,0.25261,0.10993,0.46484,0.17451,0.13693,0.0577,2.21824,3.66368,9.65647,2.2034,0,0.0009406,0.0009406,0.0009406
5,110.229,1.78735,3.48244,8.71551,2.12603,0,0.48633,0.31311,0.29545,0.12741,0.40868,0.18796,0.15986,0.07252,2.15027,3.44825,9.02469,2.21685,0,0.0009208,0.0009208,0.0009208
6,138.57,1.76338,3.42713,8.35613,2.116,0,0.59134,0.32967,0.3213,0.14037,0.49171,0.17711,0.14924,0.07188,2.08604,3.73573,8.71165,2.14133,0,0.000901,0.000901,0.000901
7,166.379,1.71693,3.28964,8.01504,2.07239,0,0.65743,0.32962,0.33185,0.15891,0.56075,0.15069,0.15013,0.07933,2.04297,3.61867,8.18532,2.0516,0,0.0008812,0.0008812,0.0008812
8,194.45,1.70528,3.25409,7.80785,2.03432,0,0.57716,0.34372,0.32166,0.15013,0.42441,0.2157,0.17789,0.08482,2.05051,3.44183,8.4157,2.1044,0,0.0008614,0.0008614,0.0008614
9,222.895,1.66379,3.22408,7.63754,2.04743,0,0.70548,0.3434,0.34713,0.16601,0.57894,0.16459,0.17482,0.09318,2.03028,3.25698,7.83654,2.0332,0,0.0008416,0.0008416,0.0008416
10,252.195,1.65371,3.15052,7.36222,1.99433,0,0.67345,0.36729,0.37063,0.17872,0.60464,0.22048,0.22146,0.11083,1.98261,2.98624,7.68904,1.9946,0,0.0008218,0.0008218,0.0008218
11,282.593,1.64605,3.1235,7.3425,1.99837,0,0.60535,0.37739,0.3548,0.1699,0.52263,0.2276,0.20343,0.10074,1.99968,2.9778,7.98516,2.03631,0,0.000802,0.000802,0.000802
12,311.54,1.66247,3.095,7.25753,1.98345,0,0.73546,0.38088,0.39421,0.19267,0.65989,0.24284,0.23827,0.11501,1.98245,2.92215,7.66995,1.9733,0,0.0007822,0.0007822,0.0007822
13,342.429,1.58669,3.00286,6.94067,1.93245,0,0.72218,0.35473,0.38184,0.19341,0.67624,0.23143,0.25146,0.12481,1.93093,2.79403,7.38029,1.96063,0,0.0007624,0.0007624,0.0007624
14,373.397,1.59682,2.97173,6.87401,1.9335,0,0.69434,0.35046,0.40365,0.20173,0.65947,0.23626,0.24871,0.12501,1.91651,2.83675,7.40588,1.93358,0,0.0007426,0.0007426,0.0007426
15,403.257,1.59552,2.97313,6.95485,1.93015,0,0.5767,0.44843,0.40565,0.20402,0.46188,0.27614,0.24847,0.12432,1.90663,2.75683,7.24331,1.94753,0,0.0007228,0.0007228,0.0007228
16,432.71,1.54093,2.92686,6.73132,1.92042,0,0.46556,0.41794,0.37415,0.19335,0.3581,0.26264,0.23174,0.1145,1.91437,2.79373,7.49279,1.93864,0,0.000703,0.000703,0.000703
17,460.003,1.52479,2.84833,6.48799,1.88348,0,0.56765,0.41674,0.43005,0.21723,0.46789,0.27453,0.27372,0.13359,1.87615,2.74272,7.31834,1.9134,0,0.0006832,0.0006832,0.0006832
18,487.758,1.50883,2.87111,6.41973,1.86604,0,0.66271,0.41797,0.43228,0.22188,0.54553,0.29268,0.28291,0.13261,1.85499,2.7806,7.01096,1.88561,0,0.0006634,0.0006634,0.0006634
19,514.859,1.48293,2.77299,6.2721,1.83085,0,0.65869,0.43016,0.43511,0.22368,0.58847,0.27473,0.27684,0.13384,1.87286,2.6754,6.71981,1.87321,0,0.0006436,0.0006436,0.0006436
20,542.176,1.50206,2.79662,6.16248,1.8431,0,0.68322,0.41632,0.4436,0.22602,0.58045,0.2766,0.2902,0.1397,1.86769,2.66071,6.84526,1.87649,0,0.0006238,0.0006238,0.0006238
21,569.256,1.49834,2.78173,6.17543,1.83203,0,0.71195,0.41203,0.43042,0.22208,0.66292,0.26404,0.28672,0.14031,1.83213,2.65607,6.7089,1.82999,0,0.000604,0.000604,0.000604
22,597.438,1.47889,2.76068,6.17543,1.83122,0,0.57819,0.4857,0.48913,0.25477,0.60026,0.26669,0.29762,0.14632,1.81658,2.65474,6.52267,1.85308,0,0.0005842,0.0005842,0.0005842
23,624.923,1.45845,2.74797,5.90113,1.79925,0,0.71851,0.44218,0.46216,0.24318,0.60198,0.30359,0.28725,0.14015,1.78293,2.63463,6.73958,1.81593,0,0.0005644,0.0005644,0.0005644
24,653.073,1.4378,2.74274,5.8898,1.79584,0,0.63889,0.45223,0.46792,0.23804,0.50859,0.32459,0.30099,0.14512,1.80941,2.61888,6.74235,1.8257,0,0.0005446,0.0005446,0.0005446
25,680.704,1.43766,2.71511,5.78208,1.79272,0,0.55546,0.48381,0.4981,0.2578,0.70443,0.28994,0.31501,0.14478,1.801,2.55382,6.42766,1.82332,0,0.0005248,0.0005248,0.0005248
26,706.649,1.42588,2.6418,5.66858,1.77383,0,0.6018,0.44831,0.48963,0.26188,0.57754,0.30507,0.31857,0.15254,1.77165,2.55638,6.33401,1.80036,0,0.000505,0.000505,0.000505
27,733.012,1.40078,2.65894,5.58497,1.7632,0,0.51231,0.53876,0.50776,0.26239,0.55667,0.3077,0.3296,0.15514,1.78012,2.56269,6.47685,1.79968,0,0.0004852,0.0004852,0.0004852
28,759.507,1.39853,2.64799,5.46252,1.74842,0,0.51343,0.47664,0.49704,0.25371,0.40608,0.36385,0.32527,0.15749,1.80126,2.5606,6.45872,1.82194,0,0.0004654,0.0004654,0.0004654
29,785.126,1.38251,2.58373,5.36381,1.75405,0,0.4427,0.55193,0.49501,0.26773,0.60783,0.32698,0.32201,0.15158,1.7606,2.63246,6.42091,1.76926,0,0.0004456,0.0004456,0.0004456
30,811.06,1.37988,2.60263,5.33828,1.75209,0,0.68851,0.4725,0.48342,0.25266,0.59828,0.34351,0.34114,0.16332,1.7928,2.55668,6.29341,1.79428,0,0.0004258,0.0004258,0.0004258
31,836.797,1.39561,2.60422,5.44214,1.74054,0,0.51773,0.53493,0.49194,0.26401,0.58991,0.33339,0.32773,0.15555,1.77734,2.5345,6.27103,1.82026,0,0.000406,0.000406,0.000406
32,862.745,1.3783,2.57841,5.3304,1.7362,0,0.58831,0.48596,0.48386,0.25677,0.50101,0.31736,0.31338,0.15262,1.77179,2.52305,6.42699,1.78874,0,0.0003862,0.0003862,0.0003862
33,888.782,1.3375,2.55028,5.159,1.71241,0,0.61794,0.47768,0.49238,0.26128,0.54114,0.34377,0.33117,0.15873,1.76288,2.57694,6.39873,1.81306,0,0.0003664,0.0003664,0.0003664
34,914.871,1.35805,2.54209,5.09774,1.70647,0,0.51948,0.58878,0.52374,0.28721,0.3866,0.38733,0.33953,0.16262,1.73984,2.50363,6.1291,1.76044,0,0.0003466,0.0003466,0.0003466
35,940.778,1.34082,2.51638,5.07822,1.70639,0,0.58737,0.49281,0.52394,0.2812,0.44659,0.35462,0.36903,0.17441,1.74161,2.43202,6.15701,1.74788,0,0.0003268,0.0003268,0.0003268
36,966.894,1.33562,2.48304,4.99096,1.69311,0,0.58787,0.50061,0.48854,0.26755,0.51408,0.36814,0.35154,0.16857,1.75024,2.50221,6.09121,1.7831,0,0.000307,0.000307,0.000307
37,992.957,1.31105,2.44995,4.91763,1.68673,0,0.49879,0.54579,0.50934,0.27885,0.5497,0.36362,0.36826,0.17683,1.7304,2.43769,6.07089,1.74765,0,0.0002872,0.0002872,0.0002872
