epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5875,1.97435,4.36024,12.7294,2.2431,0,0.50633,0.22308,0.13747,0.04601,0.61466,0.00315,0.00125,0.00015,2.44739,9.24168,13.1283,2.51546,0,0.000330033,0.000330033,0.0673267
2,53.4639,1.84156,3.74549,9.77539,2.13906,0,0.4192,0.22705,0.17802,0.06792,0.53194,0.07041,0.06316,0.02642,2.43132,5.21565,11.1813,2.50044,0,0.000650232,0.000650232,0.0343136
3,79.2706,1.81432,3.59604,9.20076,2.12313,0,0.39263,0.28661,0.22666,0.0932,0.53376,0.10603,0.09621,0.03444,2.22105,8.50692,10.9422,2.25402,0,0.00095723,0.00095723,0.00128726
4,26.6422,1.84218,3.55272,9.06865,2.10319,0,0.44544,0.30379,0.2255,0.08379,0.59982,0.13769,0.11945,0.05162,2.35568,3.89729,10.4258,2.3585,0,0.0009406,0.0009406,0.0009406
5,52.2619,1.72933,3.38794,8.44984,2.04221,0,0.47248,0.35565,0.31318,0.1213,0.4033,0.19699,0.178,0.07553,2.20765,3.46221,9.03986,2.20698,0,0.0009208,0.0009208,0.0009208
6,77.7772,1.70031,3.26055,7.98457,2.00626,0,0.53923,0.36571,0.30662,0.13271,0.42527,0.19228,0.16734,0.08022,2.13046,3.44367,9.06595,2.17353,0,0.000901,0.000901,0.000901
7,103.193,1.68142,3.22039,7.91505,1.98329,0,0.55468,0.37286,0.34344,0.15003,0.45871,0.21897,0.19198,0.09075,2.08534,3.226,8.60335,2.11217,0,0.0008812,0.0008812,0.0008812
8,128.888,1.67088,3.16333,7.66141,1.9738,0,0.57544,0.42706,0.39809,0.17247,0.68571,0.23679,0.24264,0.11029,2.04711,3.13637,8.06353,2.0454,0,0.0008614,0.0008614,0.0008614
9,154.637,1.61287,3.04596,7.35084,1.9393,0,0.61283,0.39157,0.39222,0.18076,0.51027,0.2451,0.23316,0.10872,2.01336,3.0319,8.07326,2.01986,0,0.0008416,0.0008416,0.0008416
10,181.818,1.61159,3.0128,7.22256,1.91883,0,0.67789,0.38825,0.3753,0.16298,0.55524,0.21247,0.20933,0.09431,2.03714,3.13316,8.40114,2.09226,0,0.0008218,0.0008218,0.0008218
11,208.42,1.56149,2.96936,7.01994,1.90767,0,0.71021,0.38072,0.37979,0.17743,0.56581,0.24134,0.2213,0.10941,1.97896,2.95784,7.86329,1.97599,0,0.000802,0.000802,0.000802
12,234.015,1.56036,2.92064,6.97209,1.88705,0,0.55373,0.45464,0.41036,0.1922,0.48675,0.27158,0.25728,0.12629,1.91096,2.81388,7.43529,1.93312,0,0.0007822,0.0007822,0.0007822
13,259.599,1.51732,2.90547,6.758,1.8575,0,0.63771,0.42903,0.40572,0.18697,0.5103,0.24565,0.22203,0.1051,1.91142,2.87331,7.56317,1.94459,0,0.0007624,0.0007624,0.0007624
14,285.261,1.53401,2.88067,6.78499,1.85128,0,0.7363,0.40625,0.426,0.20418,0.67115,0.24054,0.25303,0.12371,1.92582,2.80635,7.47501,1.93068,0,0.0007426,0.0007426,0.0007426
15,311.229,1.49113,2.8132,6.49741,1.83039,0,0.63282,0.45387,0.4442,0.21911,0.56537,0.273,0.26392,0.13087,1.87071,2.73647,7.11894,1.88773,0,0.0007228,0.0007228,0.0007228
16,336.807,1.48854,2.80194,6.35252,1.80939,0,0.58323,0.46867,0.42671,0.20459,0.61438,0.24002,0.25562,0.12395,1.90644,2.74256,7.18916,1.89962,0,0.000703,0.000703,0.000703
17,362.252,1.49861,2.79594,6.34054,1.81451,0,0.68201,0.43067,0.44411,0.21398,0.57196,0.29255,0.28404,0.13535,1.86876,2.64254,6.89767,1.87963,0,0.0006832,0.0006832,0.0006832
18,387.486,1.44775,2.72662,6.18511,1.80513,0,0.54843,0.5059,0.44206,0.20217,0.52594,0.31176,0.28291,0.1346,1.86529,2.67888,7.09467,1.93547,0,0.0006634,0.0006634,0.0006634
19,412.767,1.46307,2.66379,6.03885,1.80249,0,0.57715,0.4805,0.44604,0.20824,0.53803,0.28963,0.2857,0.135,1.88912,2.67224,7.02203,1.93528,0,0.0006436,0.0006436,0.0006436
20,438.13,1.42019,2.69585,5.97369,1.77208,0,0.67324,0.45728,0.43293,0.2171,0.56285,0.32729,0.29902,0.14516,1.84375,2.61614,6.868,1.87414,0,0.0006238,0.0006238,0.0006238
21,463.46,1.41312,2.63579,5.92561,1.75639,0,0.58069,0.50934,0.47166,0.23517,0.46572,0.32918,0.31706,0.15236,1.87815,2.59266,6.72763,1.88806,0,0.000604,0.000604,0.000604
22,488.82,1.4082,2.63052,5.74321,1.74581,0,0.70072,0.44766,0.48936,0.22828,0.5987,0.31243,0.32484,0.15442,1.84338,2.63536,6.90508,1.87347,0,0.0005842,0.0005842,0.0005842
23,514.15,1.42717,2.6125,5.81042,1.7411,0,0.50317,0.58371,0.51251,0.25823,0.46227,0.36823,0.32958,0.15651,1.78702,2.58428,6.47659,1.82598,0,0.0005644,0.0005644,0.0005644
24,539.494,1.40135,2.60984,5.74088,1.74656,0,0.60808,0.51957,0.49871,0.25059,0.51648,0.34983,0.33956,0.15729,1.80186,2.55826,6.55598,1.82035,0,0.0005446,0.0005446,0.0005446
25,564.897,1.38954,2.59643,5.56425,1.72539,0,0.67985,0.4828,0.51766,0.25723,0.523,0.30957,0.32045,0.15472,1.81802,2.5867,6.5731,1.84196,0,0.0005248,0.0005248,0.0005248
26,27.6192,1.38807,2.5666,5.59266,1.71859,0,0.61915,0.5175,0.50975,0.25776,0.48397,0.33185,0.32612,0.16103,1.79922,2.56837,6.42584,1.81986,0,0.000505,0.000505,0.000505
27,54.0865,1.35254,2.54034,5.482,1.69229,0,0.54652,0.53407,0.50421,0.25491,0.44977,0.32444,0.3282,0.15135,1.79186,2.53861,6.61884,1.82078,0,0.0004852,0.0004852,0.0004852
28,79.5742,1.35188,2.51813,5.39487,1.69569,0,0.56382,0.53429,0.50897,0.25274,0.46056,0.37485,0.33743,0.1564,1.80325,2.54167,6.38941,1.8324,0,0.0004654,0.0004654,0.0004654
29,105.073,1.31995,2.49936,5.28375,1.66992,0,0.50716,0.55736,0.50704,0.25812,0.44571,0.35495,0.33254,0.15774,1.78516,2.49429,6.51759,1.81212,0,0.0004456,0.0004456,0.0004456
30,130.658,1.33888,2.48326,5.20833,1.67705,0,0.53494,0.52993,0.49243,0.25569,0.43259,0.37378,0.335,0.16537,1.77843,2.47898,6.48645,1.81253,0,0.0004258,0.0004258,0.0004258
31,156.233,1.32359,2.44333,5.17614,1.68278,0,0.53137,0.54164,0.50402,0.26984,0.47792,0.36169,0.34552,0.16942,1.75814,2.4462,6.40506,1.79695,0,0.000406,0.000406,0.000406
32,182.125,1.33238,2.44122,5.14436,1.66833,0,0.67154,0.53817,0.52027,0.26821,0.55639,0.36329,0.35969,0.16821,1.74486,2.4648,6.11231,1.77765,0,0.0003862,0.0003862,0.0003862
33,208.432,1.28055,2.42243,4.96243,1.64873,0,0.4829,0.5909,0.52941,0.2651,0.34034,0.39367,0.36028,0.16713,1.7783,2.48348,6.18495,1.80998,0,0.0003664,0.0003664,0.0003664
34,234.374,1.29697,2.40407,4.97747,1.645,0,0.50473,0.54128,0.50229,0.25904,0.3919,0.35772,0.34236,0.16176,1.74987,2.4701,6.14563,1.76175,0,0.0003466,0.0003466,0.0003466
35,260.235,1.25824,2.36643,4.82876,1.61672,0,0.5377,0.56106,0.53933,0.27444,0.42662,0.39056,0.37485,0.17525,1.75142,2.4262,6.02854,1.75778,0,0.0003268,0.0003268,0.0003268
36,286.882,1.28971,2.38111,4.82907,1.62529,0,0.49515,0.5839,0.52273,0.27217,0.34105,0.36873,0.34432,0.16825,1.74194,2.46487,6.3801,1.77108,0,0.000307,0.000307,0.000307
